설치장소명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,세부위치,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
수호온누리약국,경기도,평택시,"경기도 평택시 중앙2로 16, 104호 (평택동)",경기도 평택시 평택동 298-1,36.991486,127.0885957,약국 내부,경기도 평택시청 평택보건소,031-8024-4342,2026-03-06,3910000,경기도 평택시
소사벌온누리약국,경기도,평택시,경기도 평택시 비전4로 47 (비전동),경기도 평택시 비전동 1096,37.002460,127.114571,약국 내부,경기도 평택시청 평택보건소,031-8024-4342,2026-03-06,3910000,경기도 평택시
용이푸른약국,경기도,평택시,"경기도 평택시 현신3길 76, 701동 101호 (용이동, 평택 용이2차 푸르지오)",,36.998051,127.142507,약국 내부,경기도 평택시청 평택보건소,031-8024-4342,2026-03-06,3910000,경기도 평택시
동산약국,경기도,평택시,"경기도 평택시 팽성로 92, 나동 1층",경기도 평택시 팽성읍 송화리 266번지 4호 나동 101호,36.945106,127.051891,약국 내부,경기도 평택시청 평택보건소,031-8024-4342,2026-03-06,3910000,경기도 평택시
다솜약국,경기도,평택시,"경기도 평택시 중앙로 176, 2층 223호 (합정동, 평택합정 SK VIEW 주상복합)",경기도 평택시 합정동 766-2,36.991506,127.101936,약국 내부,경기도 평택시청 평택보건소,031-8024-4342,2026-03-06,3910000,경기도 평택시
뉴그린약국,경기도,평택시,경기도 평택시 중앙로 120 (합정동),,36.992905,127.096291,약국 내부,경기도 평택시청 평택보건소,031-8024-4342,2026-03-06,3910000,경기도 평택시
하나로약국,경기도,평택시,경기도 평택시 부용로55번길 3,경기도 평택시 팽성읍 객사리 168번지 10호,36.965012,127.060988,약국 내부,경기도 평택시청 평택보건소,031-8024-4342,2026-03-06,3910000,경기도 평택시
안중늘푸른약국,경기도,평택시,경기도 평택시 안중읍 안현로서6길 44,경기도 평택시 안중읍 현화리 71-4,36.984800,126.924738,약국 내부,경기도 평택시청 평택보건소,031-8024-8622,2026-03-06,3910000,경기도 평택시
아이사랑약국,경기도,평택시,경기도 평택시 안중로131번길 14-15,경기도 평택시 안중읍 안중리 277번지 98호,36.990079,126.929551,약국 내부,경기도 평택시청 평택보건소,031-8024-8622,2026-03-06,3910000,경기도 평택시
스타약국,경기도,평택시,"경기도 평택시 여술로 20, 평택스타타워 107,108호",경기도 평택시 포승읍 도곡리 1122번지 1호,36.987762,126.844762,약국 내부,경기도 평택시청 평택보건소,031-8024-8622,2026-03-06,3910000,경기도 평택시
수약국,경기도,평택시,"경기도 평택시 안현로서8길 23, 1층 (동흥빌딩)",경기도 평택시 안중읍 현화리 836번지 3호,36.979078,126.922786,약국 내부,경기도 평택시청 평택보건소,031-8024-8622,2026-03-06,3910000,경기도 평택시
서평택약국,경기도,평택시,경기도 평택시 포승향남로 148,경기도 평택시 포승읍 도곡리 745번지 14호,36.987673,126.866409,약국 내부,경기도 평택시청 평택보건소,031-8024-8622,2026-03-06,3910000,경기도 평택시
서울약국,경기도,평택시,경기도 평택시 안중읍 안중로 133,경기도 평택시 안중읍 안중리 233-7,36.98899616,126.931385,약국 내부,경기도 평택시청 평택보건소,031-8024-8622,2026-03-06,3910000,경기도 평택시
산들약국,경기도,평택시,경기도 평택시 안중읍 안중로 141,경기도 평택시 안중읍 안중리 233-16,36.989128,126.932035,약국 내부,경기도 평택시청 평택보건소,031-8024-8622,2026-03-06,3910000,경기도 평택시
봄약국,경기도,평택시,"경기도 평택시 안현로서8길 57, 305호(붐붐프라자)",경기도 평택시 안중읍 현화리 831 붐붐프라자,36.978966,126.9191036,약국 내부,경기도 평택시청 평택보건소,031-8024-8622,2026-03-06,3910000,경기도 평택시
백화점약국,경기도,평택시,경기도 평택시 안현로서2길 14,경기도 평택시 안중읍 안중리 291번지 2호,36.988356,126.9302497,약국 내부,경기도 평택시청 평택보건소,031-8024-8622,2026-03-06,3910000,경기도 평택시
백제당약국,경기도,평택시,"경기도 평택시 안현로서6길 10, 101호 (대원빌딩)",경기도 평택시 안중읍 현화리 31번지,36.983794,126.9280969,약국 내부,경기도 평택시청 평택보건소,031-8024-8622,2026-03-06,3910000,경기도 평택시
민들레약국,경기도,평택시,경기도 평택시 여술2길 22,경기도 평택시 포승읍 도곡리 1144번지 6호,36.987482,126.845620,약국 내부,경기도 평택시청 평택보건소,031-8024-8622,2026-03-06,3910000,경기도 평택시
메디컬참약국,경기도,평택시,"경기도 평택시 안현로 300, 안중 매디컬타워 104호",경기도 평택시 안중읍 송담리 855-1 안중 매디컬타워,36.977777,126.925376,약국 내부,경기도 평택시청 평택보건소,031-8024-8622,2026-03-06,3910000,경기도 평택시
대성약국,경기도,평택시,경기도 평택시 안중로 124-1,경기도 평택시 안중읍 안중리 292번지 11호,36.988608,126.930290,약국 내부,경기도 평택시청 평택보건소,031-8024-8622,2026-03-06,3910000,경기도 평택시
농민약국,경기도,평택시,경기도 평택시 안현로 421,경기도 평택시 안중읍 안중리 294번지 4호,36.987527,126.931350,약국 내부,경기도 평택시청 평택보건소,031-8024-8622,2026-03-06,3910000,경기도 평택시
광혜당약국,경기도,평택시,"경기도 평택시 안현로 429, 서경빌딩 1층",경기도 평택시 안중읍 안중리 297번지 11호 서경빌딩,36.988187,126.931633,약국 내부,경기도 평택시청 평택보건소,031-8024-8622,2026-03-06,3910000,경기도 평택시
공룡약국,경기도,평택시,"경기도 평택시 안현로서8길 57, 211호 (붐붐프라자)",경기도 평택시 안중읍 현화리 831 붐붐프라자,36.978966,126.9191036,약국 내부,경기도 평택시청 평택보건소,031-8024-8622,2026-03-06,3910000,경기도 평택시
평택대형약국,경기도,평택시,경기도 평택시 안중읍 성해1길 18-20,경기도 평택시 안중읍 성해리 280-1,36.99035136,126.9040578,약국 내부,경기도 평택시청 평택보건소,031-8024-8622,2026-03-06,3910000,경기도 평택시
메디팜신광약국,경기도,평택시,경기도 평택시 탄현로 321-1 (신장동),경기도 평택시 신장동 214-45,37.08116432,127.0556231,,경기도 평택시청 송탄보건소,031-8024-7253,2026-03-06,3910000,경기도 평택시
오약국,경기도,평택시,경기도 평택시 관광특구로 25 (서정동),경기도 평택시 서정동 817,37.0671379144,127.0618356,,경기도 평택시청 송탄보건소,031-8024-7253,2026-03-06,3910000,경기도 평택시
인화당약국,경기도,평택시,경기도 평택시 정암로 17 (서정동),경기도 평택시 서정동 332-37,37.05718075,127.0556493,,경기도 평택시청 송탄보건소,031-8024-7253,2026-03-06,3910000,경기도 평택시
구생당약국,경기도,평택시,경기도 평택시 탄현로327번길 4-1 (신장동),경기도 평택시 신장동 214-12,37.08162615,127.0557456,,경기도 평택시청 송탄보건소,031-8024-7253,2026-03-06,3910000,경기도 평택시
신성약국,경기도,평택시,경기도 평택시 탄현로 329 (신장동),경기도 평택시 신장동 214-48,37.08169856,127.0560148,,경기도 평택시청 송탄보건소,031-8024-7253,2026-03-06,3910000,경기도 평택시
아침약국,경기도,평택시,경기도 평택시 탄현로336번길 10 (지산동),경기도 평택시 지산동 753-6,37.08169015,127.0568432,,경기도 평택시청 송탄보건소,031-8024-7253,2026-03-06,3910000,경기도 평택시
보건약국,경기도,평택시,"경기도 평택시 탄현로 287 (신장동, (신장동 227))",경기도 평택시 신장동 227-19,37.07814655,127.0550292,,경기도 평택시청 송탄보건소,031-8024-7253,2026-03-06,3910000,경기도 평택시
온누리영진약국,경기도,평택시,"경기도 평택시 송탄로 220, 1층 (서정동)",경기도 평택시 서정동 864-8,37.06340146,127.058525,,경기도 평택시청 송탄보건소,031-8024-7253,2026-03-06,3910000,경기도 평택시
지산약국,경기도,평택시,경기도 평택시 탄현로 300 (지산동),경기도 평택시 지산동 767-97,37.07937763,127.0549593,,경기도 평택시청 송탄보건소,031-8024-7253,2026-03-06,3910000,경기도 평택시
삼보약국,경기도,평택시,"경기도 평택시 진위면 진위서로 2, 1층 102호",경기도 평택시 진위면 하북리 151-10,37.10924849,127.0639199,,경기도 평택시청 송탄보건소,031-8024-7253,2026-03-06,3910000,경기도 평택시
늘푸른약국,경기도,평택시,경기도 평택시 송탄로371번길 14 (지산동),경기도 평택시 지산동 833-69,37.07684576,127.0569619,,경기도 평택시청 송탄보건소,031-8024-7253,2026-03-06,3910000,경기도 평택시
푸른약국,경기도,평택시,"경기도 평택시 점촌로19번길 59 (서정동, 고려빌딩)",경기도 평택시 서정동 876-8,37.06601637,127.0562956,,경기도 평택시청 송탄보건소,031-8024-7253,2026-03-06,3910000,경기도 평택시
소라약국,경기도,평택시,경기도 평택시 탄현로 340 (지산동),경기도 평택시 지산동 745-1,37.08227988,127.0570794,,경기도 평택시청 송탄보건소,031-8024-7253,2026-03-06,3910000,경기도 평택시
포승원정진료소,경기도,평택시,경기도 평택시 포승읍 포승원정길 23,경기도 평택시 포승읍 원정리 391-22,36.994655,126.841018,보건지소 내부,경기도 평택시청 평택보건소,031-8024-8622,2026-03-06,3910000,경기도 평택시
덕목보건진료소,경기도,평택시,경기도 평택시 현덕면 현덕로 387,경기도 평택시 현덕면 덕목리 503-13,36.952058,126.952572,보건지소 내부,경기도 평택시청 평택보건소,031-8024-8622,2026-03-06,3910000,경기도 평택시
현덕보건지소,경기도,평택시,경기도 평택시 현덕면 인광길 84,경기도 평택시 현덕면 인광리 402-12,36.967352,126.921491,보건지소 내부,경기도 평택시청 평택보건소,031-8024-8622,2026-03-06,3910000,경기도 평택시
오성보건지소,경기도,평택시,경기도 평택시 숙성시장길 23 오성면사무소,경기도 평택시 오성면 숙성리 129-1 사무소,37.007699,126.980080,보건지소 내부,경기도 평택시청 평택보건소,031-8024-8622,2026-03-06,3910000,경기도 평택시
안중보건지소,경기도,평택시,경기도 평택시 안중읍 안현로서9길 24,경기도 평택시 안중읍 현화리 834-10,36.978110,126.922328,보건지소 내부,경기도 평택시청 평택보건소,031-8024-8622,2026-03-06,3910000,경기도 평택시
더조은약국,경기도,평택시,경기도 평택시 포승읍 포승산단로13번길 37-23,경기도 평택시 포승읍 만호리 697-11,36.962593,126.854380,약국 내부,경기도 평택시청 평택보건소,031-8024-8622,2026-03-06,3910000,경기도 평택시
현덕약국,경기도,평택시,경기도 평택시 현덕면 현덕로 1271,경기도 평택시 현덕면 인광리 405-25,36.965414,126.919396,약국 내부,경기도 평택시청 평택보건소,031-8024-8622,2026-03-06,3910000,경기도 평택시
